4206065	0.86640554	1.347780531	1.718568635	1.902472384	1.956862438	2.022026766	2.076227499	2.101466769	2.123960231	2.14424533
4206570	5.618083385	9.761034149	15.17012582	20.56496131	23.4910742	28.25261965	31.7717502	36.029156	39.90134309	41.98062901
4217200 0.000283217 0.000534842 0.000750095 0.000929856 0.000964529 0.00096344 0.000980032 0.000961271 0.000974439 0.001029684
4220355 1.500648282	2.677173599	4.219532963	5.387521875	6.534570404	8.060133206	9.199051548	10.70819571	11.74326102	12.99120771
4205895 8.349244215	10.64981123	16.60882107	22.89201501	25.4636858	30.58961559	34.79779441	40.95717354	45.45162529	48.23291303
4202615 0.32624	0.54473	0.81623	0.94026	1.11	1.21	1.35	1.65	1.74	1.98
4209526 0.143353015	0.144815199	0.144815199	0.145226491	0.130527695	0.145102859	0.145287741	0.145185257	0.130627208	0.145206515
4209926 1.06954166	1.082425766	1.085896824	1.087209351	0.980542736	1.087647565	1.087209351	1.086333981	0.97805495	1.08940396
4210326 7.495081197	10.77156709	12.82102454	13.69353283	13.11109297	15.49492806	14.41567934	16.11541461	14.63456067	16.69096513
4215496 18.53093329	22.60095524	25.2475355	25.48437917	27.49630385	27.77745215	27.83437316	28.23944719	28.18085913	28.3573572
4205935 3.735510409	4.768853911	4.97951366	5.097951076	5.129288668	5.130670966	5.162620524	5.167440077	5.1404053	5.1967955
4206467 2.31	2.75	2.72	2.74	1.95	1.96	2.7	2.35	2.73	2.32
4203931 0.61882	1.06	1.64	2.08	2.5	3.09	3.5	4.06	4.47	4.87
